# Table format: 1D
    5.00000000000000e-001     1.00000000000000e+000 
    5.99880024000000e-001     1.00000000000000e+000 
    6.99790063000000e-001     1.00000000000000e+000 
    8.00000000000000e-001     1.00000000000000e+000 
    8.50340136000000e-001     1.00000000000000e+000 
    9.00090009000000e-001     1.00000000000000e+000 
    9.19963201000000e-001     1.00000000000000e+000 
    9.39849624000000e-001     1.00000000000000e+000 
    9.49667616000000e-001     1.00000000000000e+000 
    9.59692898000000e-001     1.00000000000000e+000 
    9.65250965000000e-001     1.00000000000000e+000 
    9.69932105000000e-001     1.00000000000000e+000 
    9.74658869000000e-001     1.00000000000000e+000 
    9.80392157000000e-001     1.00000000000000e+000 
