# Table format: XY
# axis1_unit = null
# axis2_unit = m
# axis3_unit = m
# axis4_unit = m
# axis5_unit = m
# axis6_unit = m
# axis7_unit = m**3
# axis8_unit = m**2
# axis9_unit = m**2
# axis10_unit = m**2
# axis11_unit = m**2
# axis12_unit = m**2
# axis13_unit = m**2
# axis14_unit = m**2
# S1 wet A : Area of FWD
# S2 wet A : Area of Left
# S3 wet A : Area of AFT
# S4 wet A : Area of Right
# S5 wet A : Area of Top
# S6 wet A : Area of Bottom
#C	COGx        	COGy        	COGz        	hfl/minPt   	hfl/refPt   	vol         	FS area     	S1 wet A    	S2 wet A    	S3 wet A    	S4 wet A    	S5 wet A    	S6 wet A    	zeros
"# Orientation 1 : pitch = -20.0 degree ;   roll = -20.0 degree"														
11	-1.489199E-02	1.465382E-03	-1.859538E-02	7.442282E-01	2.721141E-01	2.363677E-01	1.980911E-01	2.500000E-01	4.337773E-01	1.822489E-01	4.974426E-01	3.250811E-01	5.000000E-01	0.000000E+00
12	-1.903090E-02	1.333357E-03	-2.378319E-02	7.242282E-01	2.521141E-01	2.320748E-01	2.312024E-01	2.500000E-01	4.198706E-01	1.709241E-01	4.941776E-01	2.958431E-01	5.000000E-01	0.000000E+00
13	-2.355898E-02	1.108261E-03	-2.957953E-02	7.042282E-01	2.321141E-01	2.271196E-01	2.643138E-01	2.500000E-01	4.046394E-01	1.595994E-01	4.895882E-01	2.666051E-01	5.000000E-01	0.000000E+00
14	-2.840046E-02	8.049623E-04	-3.595759E-02	6.842282E-01	2.121141E-01	2.215022E-01	2.974251E-01	2.500000E-01	3.880837E-01	1.482746E-01	4.836743E-01	2.373670E-01	5.000000E-01	0.000000E+00
15	-3.347785E-02	4.383937E-04	-4.289876E-02	6.642282E-01	1.921141E-01	2.152226E-01	3.305364E-01	2.500000E-01	3.702036E-01	1.369499E-01	4.764360E-01	2.081290E-01	5.000000E-01	0.000000E+00
16	-3.870935E-02	2.396265E-05	-5.039297E-02	6.442282E-01	1.721141E-01	2.082808E-01	3.636478E-01	2.500000E-01	3.509990E-01	1.256251E-01	4.678732E-01	1.788909E-01	5.000000E-01	0.000000E+00
17	-4.400546E-02	-4.218503E-04	-5.843983E-02	6.242282E-01	1.521141E-01	2.006767E-01	3.967591E-01	2.500000E-01	3.304700E-01	1.143004E-01	4.579859E-01	1.496529E-01	5.000000E-01	0.000000E+00
18	-4.926447E-02	-8.807166E-04	-6.705025E-02	6.042282E-01	1.321141E-01	1.924104E-01	4.298704E-01	2.500000E-01	3.086165E-01	1.029757E-01	4.467742E-01	1.204148E-01	5.000000E-01	0.000000E+00
19	-5.439526E-02	-1.338778E-03	-7.623879E-02	5.842282E-01	1.121141E-01	1.834918E-01	4.613165E-01	2.494305E-01	2.859738E-01	9.165090E-02	4.342380E-01	9.264724E-02	5.000000E-01	0.000000E+00
20	-5.945489E-02	-1.815019E-03	-8.597885E-02	5.642282E-01	9.211408E-02	1.739852E-01	4.886626E-01	2.474586E-01	2.633243E-01	8.032617E-02	4.203775E-01	6.850002E-02	5.000000E-01	0.000000E+00
21	-6.458012E-02	-2.324639E-03	-9.623809E-02	5.442282E-01	7.211408E-02	1.639728E-01	5.118878E-01	2.440774E-01	2.406748E-01	6.900142E-02	4.051924E-01	4.799168E-02	5.000000E-01	0.000000E+00
22	-6.995443E-02	-2.859114E-03	-1.069969E-01	5.242282E-01	5.211408E-02	1.535372E-01	5.309920E-01	2.392867E-01	2.180253E-01	5.767669E-02	3.886829E-01	3.112226E-02	5.000000E-01	0.000000E+00
23	-7.582924E-02	-3.377525E-03	-1.182493E-01	5.042282E-01	3.211408E-02	1.427606E-01	5.459752E-01	2.330865E-01	1.953758E-01	4.635194E-02	3.708489E-01	1.789173E-02	5.000000E-01	0.000000E+00
24	-8.250672E-02	-3.817527E-03	-1.299931E-01	4.842282E-01	1.211408E-02	1.317365E-01	5.550766E-01	2.254768E-01	1.732923E-01	3.562945E-02	3.516905E-01	8.300101E-03	4.984451E-01	0.000000E+00
25	-9.015206E-02	-4.184572E-03	-1.421769E-01	4.642282E-01	-7.885921E-03	1.206125E-01	5.559478E-01	2.164578E-01	1.525294E-01	2.631240E-02	3.312076E-01	2.347392E-03	4.932617E-01	0.000000E+00
26	-9.892601E-02	-4.458754E-03	-1.547259E-01	4.442282E-01	-2.788592E-02	1.095535E-01	5.485771E-01	2.060292E-01	1.330910E-01	1.840479E-02	3.094003E-01	3.357996E-05	4.844394E-01	0.000000E+00
27	-1.090314E-01	-4.554985E-03	-1.675585E-01	4.242282E-01	-4.788592E-02	9.871549E-02	5.345031E-01	1.947175E-01	1.149770E-01	1.190665E-02	2.867630E-01	0.000000E+00	4.719782E-01	0.000000E+00
28	-1.205011E-01	-4.469363E-03	-1.806397E-01	4.042282E-01	-6.788592E-02	8.820087E-02	5.162701E-01	1.833927E-01	9.818748E-02	6.817945E-03	2.641135E-01	0.000000E+00	4.558780E-01	0.000000E+00
29	-1.332422E-01	-4.226266E-03	-1.939504E-01	3.842282E-01	-8.788592E-02	7.809215E-02	4.939162E-01	1.720680E-01	8.272243E-02	3.138709E-03	2.414640E-01	0.000000E+00	4.361390E-01	0.000000E+00
30	-1.470504E-01	-3.810047E-03	-2.074605E-01	3.642282E-01	-1.078859E-01	6.847171E-02	4.674413E-01	1.607433E-01	6.858183E-02	8.689238E-04	2.188146E-01	0.000000E+00	4.127610E-01	0.000000E+00
31	-1.615166E-01	-3.134905E-03	-2.211196E-01	3.442282E-01	-1.278859E-01	5.942196E-02	4.368453E-01	1.494185E-01	5.576565E-02	8.589397E-06	1.961650E-01	0.000000E+00	3.857441E-01	0.000000E+00
32	-1.760043E-01	-2.022146E-03	-2.348563E-01	3.242282E-01	-1.478859E-01	5.101569E-02	4.037591E-01	1.380938E-01	4.427395E-02	0.000000E+00	1.740396E-01	0.000000E+00	3.565283E-01	0.000000E+00
33	-1.902709E-01	-3.261550E-04	-2.486567E-01	3.042282E-01	-1.678859E-01	4.327163E-02	3.706478E-01	1.267690E-01	3.410671E-02	0.000000E+00	1.532306E-01	0.000000E+00	3.272903E-01	0.000000E+00
34	-2.042633E-01	2.092780E-03	-2.625362E-01	2.842282E-01	-1.878859E-01	3.618977E-02	3.375364E-01	1.154443E-01	2.526390E-02	0.000000E+00	1.337460E-01	0.000000E+00	2.980522E-01	0.000000E+00
35	-2.179121E-01	5.416812E-03	-2.765143E-01	2.642282E-01	-2.078859E-01	2.977016E-02	3.044251E-01	1.041195E-01	1.774556E-02	0.000000E+00	1.155859E-01	0.000000E+00	2.688142E-01	0.000000E+00
36	-2.311275E-01	9.883167E-03	-2.906173E-01	2.442282E-01	-2.278859E-01	2.401278E-02	2.713138E-01	9.279480E-02	1.155168E-02	0.000000E+00	9.875027E-02	0.000000E+00	2.395762E-01	0.000000E+00
37	-2.437945E-01	1.579464E-02	-3.048780E-01	2.242282E-01	-2.478859E-01	1.891760E-02	2.382024E-01	8.147004E-02	6.682231E-03	0.000000E+00	8.323902E-02	0.000000E+00	2.103380E-01	0.000000E+00
38	-2.557765E-01	2.351123E-02	-3.193358E-01	2.042282E-01	-2.678859E-01	1.448467E-02	2.050911E-01	7.014530E-02	3.137251E-03	0.000000E+00	6.905228E-02	0.000000E+00	1.811000E-01	0.000000E+00
39	-2.669479E-01	3.336391E-02	-3.340268E-01	1.842282E-01	-2.878859E-01	1.071397E-02	1.719798E-01	5.882057E-02	9.167229E-04	0.000000E+00	5.618998E-02	0.000000E+00	1.518620E-01	0.000000E+00
40	-2.773358E-01	4.528156E-02	-3.489433E-01	1.642282E-01	-3.078859E-01	7.605485E-03	1.388685E-01	4.749584E-02	2.064513E-05	0.000000E+00	4.465213E-02	0.000000E+00	1.226240E-01	0.000000E+00
41	-2.874349E-01	5.796033E-02	-3.639430E-01	1.442282E-01	-3.278859E-01	5.151554E-03	1.071542E-01	3.664891E-02	0.000000E+00	0.000000E+00	3.443871E-02	0.000000E+00	9.461958E-02	0.000000E+00
42	-2.975326E-01	7.064268E-02	-3.789429E-01	1.242282E-01	-3.478859E-01	3.291914E-03	7.949677E-02	2.718950E-02	0.000000E+00	0.000000E+00	2.554977E-02	0.000000E+00	7.019742E-02	0.000000E+00
43	-3.076302E-01	8.332506E-02	-3.939429E-01	1.042282E-01	-3.678859E-01	1.944213E-03	5.596026E-02	1.913954E-02	0.000000E+00	0.000000E+00	1.798528E-02	0.000000E+00	4.941416E-02	0.000000E+00
44	-3.177279E-01	9.600744E-02	-4.089430E-01	8.422815E-02	-3.878859E-01	1.026030E-03	3.654466E-02	1.249901E-02	0.000000E+00	0.000000E+00	1.174523E-02	0.000000E+00	3.226975E-02	0.000000E+00
45	-3.278256E-01	1.086898E-01	-4.239429E-01	6.422815E-02	-4.078859E-01	4.549514E-04	2.125008E-02	7.267955E-03	0.000000E+00	0.000000E+00	6.829644E-03	0.000000E+00	1.876429E-02	0.000000E+00
46	-3.379233E-01	1.213722E-01	-4.389429E-01	4.422815E-02	-4.278859E-01	1.485546E-04	1.007646E-02	3.446352E-03	0.000000E+00	0.000000E+00	3.238511E-03	0.000000E+00	8.897736E-03	0.000000E+00
47	-3.480210E-01	1.340546E-01	-4.539430E-01	2.422815E-02	-4.478859E-01	2.442023E-05	3.023781E-03	1.034194E-03	0.000000E+00	0.000000E+00	9.718247E-04	0.000000E+00	2.670066E-03	0.000000E+00
48	-3.581187E-01	1.467370E-01	-4.689429E-01	4.228154E-03	-4.678859E-01	1.297930E-07	9.209118E-05	3.149704E-05	0.000000E+00	0.000000E+00	2.959754E-05	0.000000E+00	8.131856E-05	0.000000E+00
49	-3.602433E-01	1.494054E-01	-4.720990E-01	0.000000E+00	-4.721141E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
"# Orientation 2 : pitch = -18.0 degree ;   roll = -20.0 degree"														
1	1.193469E-08	1.587615E-09	7.658341E-10	9.185076E-01	4.592538E-01	2.500000E-01	0.000000E+00	2.500000E-01	5.000000E-01	2.500000E-01	5.000000E-01	5.000000E-01	5.000000E-01	0.000000E+00
2	-2.162455E-05	8.107819E-06	-2.637429E-05	8.985076E-01	4.392538E-01	2.499852E-01	2.226370E-03	2.500000E-01	4.992758E-01	2.493120E-01	5.000000E-01	4.980103E-01	5.000000E-01	0.000000E+00
3	-1.673579E-04	5.909959E-05	-2.039663E-04	8.785076E-01	4.192538E-01	2.498813E-01	8.905482E-03	2.500000E-01	4.971032E-01	2.472481E-01	5.000000E-01	4.920412E-01	5.000000E-01	0.000000E+00
4	-5.460262E-04	1.795308E-04	-6.650977E-04	8.585076E-01	3.992538E-01	2.495993E-01	2.003734E-02	2.500000E-01	4.934823E-01	2.438081E-01	5.000000E-01	4.820926E-01	5.000000E-01	0.000000E+00
5	-1.250851E-03	3.787295E-04	-1.522809E-03	8.385076E-01	3.792538E-01	2.490501E-01	3.562193E-02	2.500000E-01	4.884129E-01	2.389922E-01	5.000000E-01	4.681647E-01	5.000000E-01	0.000000E+00
6	-2.361256E-03	6.487087E-04	-2.872943E-03	8.185076E-01	3.592538E-01	2.481447E-01	5.565927E-02	2.500000E-01	4.818951E-01	2.328003E-01	5.000000E-01	4.502573E-01	5.000000E-01	0.000000E+00
7	-3.944862E-03	9.643153E-04	-4.796772E-03	7.985076E-01	3.392538E-01	2.467940E-01	8.014934E-02	2.500000E-01	4.739290E-01	2.252325E-01	5.000000E-01	4.283705E-01	5.000000E-01	0.000000E+00
8	-6.060201E-03	1.282604E-03	-7.363944E-03	7.785076E-01	3.192538E-01	2.449090E-01	1.090922E-01	2.500000E-01	4.645145E-01	2.162887E-01	5.000000E-01	4.025043E-01	5.000000E-01	0.000000E+00
9	-8.759159E-03	1.541527E-03	-1.063573E-02	7.585076E-01	2.992538E-01	2.424007E-01	1.424877E-01	2.500000E-01	4.536515E-01	2.059689E-01	5.000000E-01	3.726586E-01	5.000000E-01	0.000000E+00
10	-1.207285E-02	1.670928E-03	-1.465669E-02	7.385076E-01	2.792538E-01	2.391895E-01	1.786587E-01	2.500000E-01	4.413402E-01	1.947914E-01	4.994544E-01	3.403326E-01	5.000000E-01	0.000000E+00
11	-1.592847E-02	1.662494E-03	-1.940074E-02	7.185076E-01	2.592538E-01	2.352543E-01	2.148684E-01	2.500000E-01	4.275805E-01	1.836020E-01	4.974730E-01	3.079719E-01	5.000000E-01	0.000000E+00
12	-2.021723E-02	1.533093E-03	-2.482402E-02	6.985076E-01	2.392538E-01	2.305948E-01	2.510782E-01	2.500000E-01	4.123724E-01	1.724126E-01	4.940433E-01	2.756113E-01	5.000000E-01	0.000000E+00
13	-2.483033E-02	1.298519E-03	-3.089237E-02	6.785076E-01	2.192538E-01	2.252112E-01	2.872879E-01	2.500000E-01	3.957159E-01	1.612232E-01	4.891651E-01	2.432506E-01	5.000000E-01	0.000000E+00
14	-2.965553E-02	9.740607E-04	-3.758132E-02	6.585076E-01	1.992538E-01	2.191033E-01	3.234977E-01	2.500000E-01	3.776111E-01	1.500337E-01	4.828385E-01	2.108899E-01	5.000000E-01	0.000000E+00
15	-3.457262E-02	5.747394E-04	-4.487643E-02	6.385076E-01	1.792538E-01	2.122712E-01	3.597074E-01	2.500000E-01	3.580578E-01	1.388443E-01	4.750636E-01	1.785292E-01	5.000000E-01	0.000000E+00
16	-3.944825E-02	1.158432E-04	-5.277431E-02	6.185076E-01	1.592538E-01	2.047150E-01	3.959172E-01	2.500000E-01	3.370561E-01	1.276549E-01	4.658403E-01	1.461685E-01	5.000000E-01	0.000000E+00
17	-4.413532E-02	-3.880545E-04	-6.128184E-02	5.985076E-01	1.392538E-01	1.964370E-01	4.314555E-01	2.497925E-01	3.148245E-01	1.164654E-01	4.551686E-01	1.144079E-01	5.000000E-01	0.000000E+00
18	-4.858966E-02	-9.516462E-04	-7.037382E-02	5.785076E-01	1.192538E-01	1.874851E-01	4.629937E-01	2.483489E-01	2.924456E-01	1.052760E-01	4.430484E-01	8.622220E-02	5.000000E-01	0.000000E+00
19	-5.288540E-02	-1.605688E-03	-7.999699E-02	5.585076E-01	9.925382E-02	1.779469E-01	4.900791E-01	2.455293E-01	2.700668E-01	9.408658E-02	4.294799E-01	6.201593E-02	5.000000E-01	0.000000E+00
20	-5.713027E-02	-2.362935E-03	-9.010784E-02	5.385076E-01	7.925382E-02	1.679116E-01	5.127117E-01	2.413338E-01	2.476879E-01	8.289716E-02	4.144631E-01	4.178912E-02	5.000000E-01	0.000000E+00
21	-6.147553E-02	-3.211348E-03	-1.006730E-01	5.185076E-01	5.925382E-02	1.574682E-01	5.308917E-01	2.357623E-01	2.253091E-01	7.170773E-02	3.979978E-01	2.554169E-02	5.000000E-01	0.000000E+00
22	-6.613522E-02	-4.104702E-03	-1.116687E-01	4.985076E-01	3.925382E-02	1.467057E-01	5.446189E-01	2.288148E-01	2.029302E-01	6.051832E-02	3.800841E-01	1.327371E-02	5.000000E-01	0.000000E+00
23	-7.141449E-02	-4.947750E-03	-1.230810E-01	4.785076E-01	1.925382E-02	1.357131E-01	5.538933E-01	2.204913E-01	1.805514E-01	4.932888E-02	3.607221E-01	4.985121E-03	5.000000E-01	0.000000E+00
24	-7.773190E-02	-5.583762E-03	-1.349016E-01	4.585076E-01	-7.461771E-04	1.245838E-01	5.577526E-01	2.107919E-01	1.584856E-01	3.843685E-02	3.399116E-01	6.759587E-04	4.991399E-01	0.000000E+00
25	-8.543034E-02	-5.884348E-03	-1.470745E-01	4.385076E-01	-2.074618E-02	1.134607E-01	5.533550E-01	1.998362E-01	1.377832E-01	2.884009E-02	3.177788E-01	0.000000E+00	4.945338E-01	0.000000E+00
26	-9.467329E-02	-5.812822E-03	-1.595394E-01	4.185076E-01	-4.074618E-02	1.024822E-01	5.437483E-01	1.886468E-01	1.185292E-01	2.061930E-02	2.953999E-01	0.000000E+00	4.859483E-01	0.000000E+00
27	-1.054775E-01	-5.426554E-03	-1.722829E-01	3.985076E-01	-6.074618E-02	9.174046E-02	5.296889E-01	1.774573E-01	1.007236E-01	1.377448E-02	2.730211E-01	0.000000E+00	4.733834E-01	0.000000E+00
28	-1.178348E-01	-4.776595E-03	-1.852954E-01	3.785076E-01	-8.074618E-02	8.132436E-02	5.111766E-01	1.662679E-01	8.436640E-02	8.305623E-03	2.506422E-01	0.000000E+00	4.568390E-01	0.000000E+00
29	-1.316926E-01	-3.891407E-03	-1.985644E-01	3.585076E-01	-1.007462E-01	7.132306E-02	4.882117E-01	1.550785E-01	6.945760E-02	4.212753E-03	2.282634E-01	0.000000E+00	4.363152E-01	0.000000E+00
30	-1.468976E-01	-2.759842E-03	-2.120695E-01	3.385076E-01	-1.207462E-01	6.182559E-02	4.607941E-01	1.438891E-01	5.599719E-02	1.495852E-03	2.058845E-01	0.000000E+00	4.118121E-01	0.000000E+00
31	-1.630910E-01	-1.299111E-03	-2.257733E-01	3.185076E-01	-1.407462E-01	5.292098E-02	4.289236E-01	1.326996E-01	4.398513E-02	1.549204E-04	1.835056E-01	0.000000E+00	3.833294E-01	0.000000E+00
32	-1.795490E-01	6.972865E-04	-2.396062E-01	2.985076E-01	-1.607462E-01	4.469617E-02	3.932152E-01	1.215102E-01	3.342150E-02	0.000000E+00	1.613267E-01	0.000000E+00	3.514168E-01	0.000000E+00
33	-1.957070E-01	3.471704E-03	-2.535281E-01	2.785076E-01	-1.807462E-01	3.719397E-02	3.570055E-01	1.103208E-01	2.430626E-02	0.000000E+00	1.404332E-01	0.000000E+00	3.190561E-01	0.000000E+00
34	-2.114610E-01	7.227005E-03	-2.675583E-01	2.585076E-01	-2.007462E-01	3.041594E-02	3.207957E-01	9.913132E-02	1.663938E-02	0.000000E+00	1.209880E-01	0.000000E+00	2.866954E-01	0.000000E+00
35	-2.267054E-01	1.221937E-02	-2.817253E-01	2.385076E-01	-2.207462E-01	2.436213E-02	2.845860E-01	8.794191E-02	1.042091E-02	0.000000E+00	1.029912E-01	0.000000E+00	2.543347E-01	0.000000E+00
36	-2.413086E-01	1.876822E-02	-2.960642E-01	2.185076E-01	-2.407462E-01	1.903251E-02	2.483763E-01	7.675249E-02	5.650833E-03	0.000000E+00	8.644279E-02	0.000000E+00	2.219741E-01	0.000000E+00
37	-2.551248E-01	2.722812E-02	-3.106144E-01	1.985076E-01	-2.607462E-01	1.442707E-02	2.121665E-01	6.556304E-02	2.329134E-03	0.000000E+00	7.134274E-02	0.000000E+00	1.896133E-01	0.000000E+00
38	-2.680568E-01	3.783420E-02	-3.254017E-01	1.785076E-01	-2.807462E-01	1.054585E-02	1.759568E-01	5.437362E-02	4.558333E-04	0.000000E+00	5.769113E-02	0.000000E+00	1.572527E-01	0.000000E+00
39	-2.803025E-01	5.010644E-02	-3.403731E-01	1.585076E-01	-3.007462E-01	7.388680E-03	1.398421E-01	4.321358E-02	0.000000E+00	0.000000E+00	4.548790E-02	0.000000E+00	1.249770E-01	0.000000E+00
40	-2.924417E-01	6.263727E-02	-3.553731E-01	1.385076E-01	-3.207462E-01	4.929895E-03	1.067788E-01	3.299647E-02	0.000000E+00	0.000000E+00	3.473307E-02	0.000000E+00	9.542831E-02	0.000000E+00
41	-3.045810E-01	7.516813E-02	-3.703731E-01	1.185076E-01	-3.407462E-01	3.087842E-03	7.816819E-02	2.415530E-02	0.000000E+00	0.000000E+00	2.542659E-02	0.000000E+00	6.985898E-02	0.000000E+00
42	-3.167202E-01	8.769894E-02	-3.853731E-01	9.850764E-02	-3.607462E-01	1.773479E-03	5.401039E-02	1.669013E-02	0.000000E+00	0.000000E+00	1.756853E-02	0.000000E+00	4.826913E-02	0.000000E+00
43	-3.288594E-01	1.002298E-01	-4.003731E-01	7.850764E-02	-3.807462E-01	8.977437E-04	3.430533E-02	1.060093E-02	0.000000E+00	0.000000E+00	1.115885E-02	0.000000E+00	3.065870E-02	0.000000E+00
44	-3.409987E-01	1.127606E-01	-4.153731E-01	5.850764E-02	-4.007462E-01	3.715810E-04	1.905296E-02	5.887687E-03	0.000000E+00	0.000000E+00	6.197555E-03	0.000000E+00	1.702764E-02	0.000000E+00
45	-3.531379E-01	1.252915E-01	-4.303731E-01	3.850764E-02	-4.207462E-01	1.059393E-04	8.253369E-03	2.550431E-03	0.000000E+00	0.000000E+00	2.684660E-03	0.000000E+00	7.376043E-03	0.000000E+00
46	-3.652771E-01	1.378223E-01	-4.453731E-01	1.850764E-02	-4.407462E-01	1.176171E-05	1.906516E-03	5.891458E-04	0.000000E+00	0.000000E+00	6.201524E-04	0.000000E+00	1.703855E-03	0.000000E+00
47	-3.764984E-01	1.494056E-01	-4.592388E-01	0.000000E+00	-4.592538E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
"# Orientation 3 : pitch = -16.0 degree ;   roll = -20.0 degree"														
1	-1.782147E-08	1.587615E-09	-1.985920E-08	8.916680E-01	4.458340E-01	2.500000E-01	0.000000E+00	2.500000E-01	5.000000E-01	2.500000E-01	5.000000E-01	5.000000E-01	5.000000E-01	0.000000E+00
2	-2.463454E-05	8.912482E-06	-2.809365E-05	8.716680E-01	4.258340E-01	2.499837E-01	2.443268E-03	2.500000E-01	4.991967E-01	2.493265E-01	5.000000E-01	4.977930E-01	5.000000E-01	0.000000E+00
3	-1.894116E-04	6.500045E-05	-2.168616E-04	8.516680E-01	4.058340E-01	2.498697E-01	9.773073E-03	2.500000E-01	4.967869E-01	2.473062E-01	5.000000E-01	4.911721E-01	5.000000E-01	0.000000E+00
4	-6.143331E-04	1.977698E-04	-7.063647E-04	8.316680E-01	3.858340E-01	2.495602E-01	2.198941E-02	2.500000E-01	4.927705E-01	2.439389E-01	5.000000E-01	4.801372E-01	5.000000E-01	0.000000E+00
5	-1.398700E-03	4.180090E-04	-1.615604E-03	8.116680E-01	3.658340E-01	2.489575E-01	3.909229E-02	2.500000E-01	4.871476E-01	2.392247E-01	5.000000E-01	4.646883E-01	5.000000E-01	0.000000E+00
6	-2.623129E-03	7.178799E-04	-3.044953E-03	7.916680E-01	3.458340E-01	2.479639E-01	6.108171E-02	2.500000E-01	4.799181E-01	2.331636E-01	5.000000E-01	4.448255E-01	5.000000E-01	0.000000E+00
7	-4.352051E-03	1.071008E-03	-5.079230E-03	7.716680E-01	3.258340E-01	2.464817E-01	8.795765E-02	2.500000E-01	4.710821E-01	2.257556E-01	5.000000E-01	4.205487E-01	5.000000E-01	0.000000E+00
8	-6.636369E-03	1.431705E-03	-7.791003E-03	7.516680E-01	3.058340E-01	2.444131E-01	1.197201E-01	2.500000E-01	4.606395E-01	2.170007E-01	5.000000E-01	3.918579E-01	5.000000E-01	0.000000E+00
9	-9.516197E-03	1.733632E-03	-1.124453E-02	7.316680E-01	2.858340E-01	2.416603E-01	1.563692E-01	2.500000E-01	4.485904E-01	2.068988E-01	5.000000E-01	3.587532E-01	5.000000E-01	0.000000E+00
10	-1.300966E-02	1.897486E-03	-1.549064E-02	7.116680E-01	2.658340E-01	2.381335E-01	1.964155E-01	2.500000E-01	4.349347E-01	1.958606E-01	4.995104E-01	3.225797E-01	5.000000E-01	0.000000E+00
11	-1.701819E-02	1.907082E-03	-2.050974E-02	6.916680E-01	2.458340E-01	2.338035E-01	2.365792E-01	2.500000E-01	4.196724E-01	1.847899E-01	4.974528E-01	2.863002E-01	5.000000E-01	0.000000E+00
12	-2.138870E-02	1.780094E-03	-2.625834E-02	6.716680E-01	2.258340E-01	2.286703E-01	2.767430E-01	2.500000E-01	4.028037E-01	1.737193E-01	4.937887E-01	2.500207E-01	5.000000E-01	0.000000E+00
13	-2.596270E-02	1.533033E-03	-3.270478E-02	6.516680E-01	2.058340E-01	2.227338E-01	3.169068E-01	2.500000E-01	3.843283E-01	1.626487E-01	4.885180E-01	2.137411E-01	5.000000E-01	0.000000E+00
14	-3.056993E-02	1.181366E-03	-3.982980E-02	6.316680E-01	1.858340E-01	2.159940E-01	3.570705E-01	2.500000E-01	3.642464E-01	1.515780E-01	4.816408E-01	1.774616E-01	5.000000E-01	0.000000E+00
15	-3.502061E-02	7.400231E-04	-4.762726E-02	6.116680E-01	1.658340E-01	2.084511E-01	3.971181E-01	2.499680E-01	3.425962E-01	1.405074E-01	4.731571E-01	1.412870E-01	5.000000E-01	0.000000E+00
16	-3.917288E-02	2.044455E-04	-5.607647E-02	5.916680E-01	1.458340E-01	2.001341E-01	4.337727E-01	2.490007E-01	3.204549E-01	1.294367E-01	4.630668E-01	1.081772E-01	5.000000E-01	0.000000E+00
